scale,response,predictor,n,pearson_r,spearman_r,pearson_p
20m,spec_pca_mean,env_tri11,360,-0.11401554956420568,-0.10734727891418916,0.030554495103777446
20m,spec_rao_q,phy_faith,360,0.08725564938546658,0.05087301454621212,0.0983398531782634
20m,spec_rao_q,phy_afaith,360,0.11232910298325956,0.05475453771505439,0.033119623684220084
20m,spec_rao_q,sp_shannon,360,-0.10473384627859826,-0.14903021371049674,0.04706239091152547
20m,spec_rao_q,env_elev,360,-0.09653704092408738,-0.11631365468354951,0.06731475688460375
20m,spec_rao_q,env_tri11,360,-0.091874767494863,-0.09926414041260606,0.08171475406636138
20m,spec_alpha,phy_faith,360,0.11399674094219764,0.12070414728537632,0.030582138538734694
20m,spec_alpha,phy_afaith,360,0.2096764849339205,0.1590215459481426,6.093777006796946e-5
20m,spec_alpha,sp_shannon,360,-0.11219662415283521,-0.12267944454303915,0.033328683256704024
20m,spec_alpha,env_elev,360,-0.1136824094630549,-0.17451420664254097,0.03104729355081844
20m,spec_alpha,env_tri11,360,-0.1340675470772606,-0.12968695746109152,0.010883669553438929
50m,spec_sa,phy_faith,80,0.17064920383440527,0.24472573839662448,0.13016906714227774
50m,spec_sa,phy_afaith,80,0.22783820452203735,0.2806610407876231,0.04209382783595236
50m,spec_sa,sp_shannon,80,0.04710130942099124,0.13907641819034225,0.6782247107176529
50m,spec_sa,env_elev,80,-0.45767521048415877,-0.423019221753399,1.9692016627733472e-5
50m,spec_sa,env_tri11,80,-0.056873596805572156,-0.16336146272855134,0.6163058564094579
50m,spec_pca_mean,phy_faith,74,0.12698848619881023,0.05750462791558682,0.28095763666645096
50m,spec_pca_mean,phy_afaith,74,0.37542867177486183,0.237319511292114,9.806152890544154e-4
50m,spec_pca_mean,sp_shannon,74,-0.15767358837679152,-0.18142910033320991,0.17970062602495196
50m,spec_pca_mean,env_elev,74,-0.23019654648048887,-0.29406886338393184,0.048484421117434486
50m,spec_pca_mean,env_tri11,74,-0.04853286037625288,-0.04408737504627915,0.6813439796131946
50m,spec_rao_q,phy_faith,74,0.1604491149171858,0.07349870418363569,0.17206354781936686
50m,spec_rao_q,phy_afaith,74,0.3452361189515804,0.22564975934838946,0.0025912298286790278
50m,spec_rao_q,sp_shannon,74,-0.10951841286854577,-0.16682710107367638,0.35295548695488876
50m,spec_rao_q,env_elev,74,-0.24277434165070289,-0.28509440947797104,0.03714563503997362
50m,spec_rao_q,env_tri11,74,-0.00729417872551507,-0.03244724176231025,0.9508181029270961
50m,spec_alpha,phy_faith,74,0.1485884407172905,0.11200296186597555,0.20641954851180871
50m,spec_alpha,phy_afaith,74,0.41407876668356164,0.2705812661977045,2.449598912734053e-4
50m,spec_alpha,sp_shannon,74,-0.16150775487179414,-0.1778748611625324,0.16921415370750206
50m,spec_alpha,env_elev,74,-0.3027409098268434,-0.3354461310625694,0.008747389524143024
50m,spec_alpha,env_tri11,74,-0.18198326805060025,-0.24262125138837462,0.12070609909730347
