"relationship_type","scale","boot_stat","boot_stat_label","predictor","predictor_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","n_groups","eta_squared"
"continuous","20m","boot_sd","SA bootstrap SD","mean_green_pixel_brightness","Green brightness",477,0.0344297545930043,0.00118540800133451,0.563737059054345,0.453130215953829,0.544265410701247,0.0279287121047444,NA,NA
"continuous","20m","boot_sd","SA bootstrap SD","mean_red_pixel_brightness","Red brightness",477,0.104748008397342,0.0109721452632097,5.26958768154375,0.0221359989747026,0.822353692292683,-0.0361421682146299,NA,NA
"continuous","20m","boot_sd","SA bootstrap SD","mean_nir_pixel_brightness","NIR brightness",477,0.12173943600719,0.0148204902793487,7.14563469218596,0.00777332177107705,0.214015849426831,-0.0475266249164599,NA,NA
"composition","20m","boot_sd","SA bootstrap SD","composition_type","Species composition type",477,NA,NA,1.4782411515838,0.195407254109487,NA,NA,6,0.0154501288254433
"continuous","20m","boot_cv","SA bootstrap CV","env_elev","Elevation",477,0.117955314467347,0.0139134562110907,6.70214165470129,0.00992501862983738,0.000185644938368062,-0.023168146348513,NA,NA
"continuous","20m","boot_cv","SA bootstrap CV","present_species_count","Species count",477,-0.116677613036065,0.0136136653837938,6.55573869017367,0.0107627913145521,-0.00143512264472392,0.0294575243860222,NA,NA
"continuous","20m","boot_cv","SA bootstrap CV","crown_equivalent_individuals","Individual count",477,-0.0685805671515849,0.00470329419083304,2.24462185758911,0.134743922694104,-0.000779671543118275,0.0249561059632992,NA,NA
"continuous","20m","boot_cv","SA bootstrap CV","mean_pixel_brightness","Overall brightness",477,0.0348116957454926,0.00121185416067676,0.576329153203688,0.448131344856942,0.158577353827086,0.00975879811325601,NA,NA
"continuous","20m","boot_cv","SA bootstrap CV","mean_blue_pixel_brightness","Blue brightness",477,0.0570644986602581,0.00325635700734657,1.55182286775921,0.213480637687987,0.605632492409241,0.00688760190949475,NA,NA
"continuous","20m","boot_cv","SA bootstrap CV","mean_green_pixel_brightness","Green brightness",477,0.0319346636177729,0.00101982274038031,0.484910324256371,0.486547122217248,0.180023731490586,0.0105136731652729,NA,NA
"continuous","20m","boot_cv","SA bootstrap CV","mean_red_pixel_brightness","Red brightness",477,0.110616311969887,0.0122359684738194,5.88408247269748,0.0156498989260364,0.309686770336509,-0.0147508861169866,NA,NA
"continuous","20m","boot_cv","SA bootstrap CV","mean_nir_pixel_brightness","NIR brightness",477,0.134386283741059,0.0180596732577326,8.73611620156481,0.00327482114698937,0.084248116822859,-0.0207492489380472,NA,NA
"composition","20m","boot_cv","SA bootstrap CV","composition_type","Species composition type",477,NA,NA,1.50558079450416,0.186537722856238,NA,NA,6,0.0157313793198423
"continuous","20m","boot_se","SA bootstrap SE","env_elev","Elevation",477,0.107173390633083,0.0114861356597913,5.51930998159792,0.019216314752824,5.65344204724204e-05,-0.00645287672864736,NA,NA
"continuous","20m","boot_se","SA bootstrap SE","present_species_count","Species count",477,-0.118518159567863,0.0140465541473534,6.76716862044418,0.00957471531479896,-0.000488592452887634,0.00995905997099211,NA,NA
"continuous","20m","boot_se","SA bootstrap SE","crown_equivalent_individuals","Individual count",477,-0.0729911607748908,0.00532770955126595,2.54421688545244,0.11136388786412,-0.000278125785838298,0.00852804149383611,NA,NA
"continuous","20m","boot_se","SA bootstrap SE","mean_pixel_brightness","Overall brightness",477,0.0371645008673387,0.00138120012471842,0.656977476613884,0.418034943566136,0.0567420034655718,0.00309700155854942,NA,NA
"continuous","20m","boot_se","SA bootstrap SE","mean_blue_pixel_brightness","Blue brightness",477,0.0571724889753676,0.00326869349563852,1.55772112333215,0.212614075850625,0.203371754144736,0.00233009089786856,NA,NA
"continuous","20m","boot_se","SA bootstrap SE","mean_green_pixel_brightness","Green brightness",477,0.0344297545930044,0.00118540800133451,0.563737059054343,0.45313021595383,0.0650521589941265,0.00333811957294542,NA,NA
"continuous","20m","boot_se","SA bootstrap SE","mean_red_pixel_brightness","Red brightness",477,0.104748008397343,0.0109721452632098,5.26958768154377,0.0221359989747023,0.0982900660019985,-0.00431981534535016,NA,NA
"continuous","20m","boot_se","SA bootstrap SE","mean_nir_pixel_brightness","NIR brightness",477,0.12173943600719,0.0148204902793488,7.14563469218598,0.00777332177107697,0.0255797866085951,-0.00568051818052577,NA,NA
"composition","20m","boot_se","SA bootstrap SE","composition_type","Species composition type",477,NA,NA,1.4782411515838,0.195407254109487,NA,NA,6,0.0154501288254433
"continuous","50m","boot_sd","SA bootstrap SD","env_elev","Elevation",79,0.0279893412940476,0.000783403226074685,0.0603693419449865,0.806566857738714,0.000105403097048129,0.029626830079808,NA,NA
"continuous","50m","boot_sd","SA bootstrap SD","present_species_count","Species count",79,-0.192195501433612,0.0369391107713177,2.95340778678021,0.089715183384494,-0.00351981041384842,0.107794041743428,NA,NA
"continuous","50m","boot_sd","SA bootstrap SD","crown_equivalent_individuals","Individual count",79,-0.192297553741209,0.036978349174853,2.95666549555142,0.0895416903599193,-0.00146602573855633,0.126143333447198,NA,NA
"continuous","50m","boot_sd","SA bootstrap SD","mean_pixel_brightness","Overall brightness",79,-0.0234312015794616,0.000549021207457369,0.0422978553938586,0.837595821228747,-0.348609906915299,0.0731438108026144,NA,NA
"continuous","50m","boot_sd","SA bootstrap SD","mean_blue_pixel_brightness","Blue brightness",79,-0.0053936449846315,2.90914062202397e-05,0.0022401034467178,0.962372976240136,-0.183734668713238,0.0569554157877532,NA,NA
"continuous","50m","boot_sd","SA bootstrap SD","mean_green_pixel_brightness","Green brightness",79,-0.01837731803356,0.000337725818106616,0.0260136734833686,0.872289368998477,-0.334683897980358,0.0686832084199548,NA,NA
"continuous","50m","boot_sd","SA bootstrap SD","mean_red_pixel_brightness","Red brightness",79,-0.0868739450635703,0.00754708233090827,0.585544491969239,0.446486308660062,-0.765047038510914,0.136247104429929,NA,NA
"continuous","50m","boot_sd","SA bootstrap SD","mean_nir_pixel_brightness","NIR brightness",79,-0.112461618237729,0.0126476155766488,0.986341264543285,0.323749009042806,-0.203103418187713,0.14864572208491,NA,NA
"composition","50m","boot_sd","SA bootstrap SD","composition_type","Species composition type",79,NA,NA,1.03578736601464,0.359902457483652,NA,NA,3,0.0265343018779843
"continuous","50m","boot_cv","SA bootstrap CV","env_elev","Elevation",79,0.0454179604993868,0.00206279113592387,0.159163237982614,0.691032355363886,5.94890288572052e-05,0.00529123114159634,NA,NA
"continuous","50m","boot_cv","SA bootstrap CV","present_species_count","Species count",79,-0.194516178203242,0.0378365435827954,3.02798223778306,0.0858349988226463,-0.00123902576835524,0.0378452483348559,NA,NA
"continuous","50m","boot_cv","SA bootstrap CV","crown_equivalent_individuals","Individual count",79,-0.185913348001001,0.0345637729649411,2.75669220169404,0.100915563389667,-0.000492977348280116,0.0431581667968147,NA,NA
"continuous","50m","boot_cv","SA bootstrap CV","mean_pixel_brightness","Overall brightness",79,-0.0170351672569627,0.0002901969234727,0.0223516494873136,0.881546313915785,-0.0881536143776035,0.0236852681589154,NA,NA
"continuous","50m","boot_cv","SA bootstrap CV","mean_blue_pixel_brightness","Blue brightness",79,-0.00109032141678959,1.18880079190984e-06,9.1537769797231e-05,0.992391071450268,-0.0129184929657004,0.0189331723487707,NA,NA
"continuous","50m","boot_cv","SA bootstrap CV","mean_green_pixel_brightness","Green brightness",79,-0.0140132898513369,0.000196372292457583,0.0151236363823806,0.902444791200161,-0.0887649165750403,0.0227466677488353,NA,NA
"continuous","50m","boot_cv","SA bootstrap CV","mean_red_pixel_brightness","Red brightness",79,-0.0665841694854417,0.00443345162606607,0.34289598798258,0.559874719701708,-0.203947383727355,0.0407788280794716,NA,NA
"continuous","50m","boot_cv","SA bootstrap CV","mean_nir_pixel_brightness","NIR brightness",79,-0.0859238160445444,0.00738290216365672,0.572711741355976,0.451492758976057,-0.0539728085445077,0.0440039276399212,NA,NA
"composition","50m","boot_cv","SA bootstrap CV","composition_type","Species composition type",79,NA,NA,0.964856739557238,0.385655461503204,NA,NA,3,0.0247622298730978
"continuous","50m","boot_se","SA bootstrap SE","env_elev","Elevation",79,0.0279893412940476,0.000783403226074683,0.0603693419449863,0.806566857738714,1.25980797104373e-05,0.00354108349152755,NA,NA
"continuous","50m","boot_se","SA bootstrap SE","present_species_count","Species count",79,-0.192195501433612,0.0369391107713177,2.95340778678021,0.0897151833844941,-0.000420697810606477,0.012883852260753,NA,NA
"continuous","50m","boot_se","SA bootstrap SE","crown_equivalent_individuals","Individual count",79,-0.192297553741209,0.0369783491748531,2.95666549555143,0.0895416903599189,-0.000175223590474311,0.0150770121012899,NA,NA
"continuous","50m","boot_se","SA bootstrap SE","mean_pixel_brightness","Overall brightness",79,-0.0234312015794618,0.000549021207457379,0.0422978553938594,0.837595821228745,-0.0416668534242568,0.0087423575267027,NA,NA
"continuous","50m","boot_se","SA bootstrap SE","mean_blue_pixel_brightness","Blue brightness",79,-0.00539364498463162,2.9091406220241e-05,0.0022401034467179,0.962372976240135,-0.0219604932572641,0.00680747424060585,NA,NA
"continuous","50m","boot_se","SA bootstrap SE","mean_green_pixel_brightness","Green brightness",79,-0.0183773180335602,0.000337725818106622,0.026013673483369,0.872289368998476,-0.0400023769949679,0.0082092135684407,NA,NA
"continuous","50m","boot_se","SA bootstrap SE","mean_red_pixel_brightness","Red brightness",79,-0.0868739450635704,0.0075470823309083,0.585544491969241,0.446486308660061,-0.0914406107914797,0.0162846437153622,NA,NA
"continuous","50m","boot_se","SA bootstrap SE","mean_nir_pixel_brightness","NIR brightness",79,-0.112461618237729,0.0126476155766488,0.986341264543286,0.323749009042805,-0.0242755016071562,0.0177665619691054,NA,NA
"composition","50m","boot_se","SA bootstrap SE","composition_type","Species composition type",79,NA,NA,1.03578736601464,0.359902457483652,NA,NA,3,0.0265343018779844
