"scale","quad_id","sa_entropy","boot_sd","boot_cv","boot_se","env_elev","crown_equivalent_individuals","present_species_count","composition_cluster","composition_type","brightness_n_pixels","mean_pixel_brightness","median_pixel_brightness","sd_pixel_brightness","blue_brightness_n_pixels","mean_blue_pixel_brightness","green_brightness_n_pixels","mean_green_pixel_brightness","red_brightness_n_pixels","mean_red_pixel_brightness","nir_brightness_n_pixels","mean_nir_pixel_brightness"
"10m","1004_d",2.92555255802296,0.00883389303326901,0.00301956394837043,0.00105585216851629,217.319939962463,1.70948952649134,6,"10m_C2","FAGR+LIST2+LITU",8100,0.0615346370366069,0.0625369399785995,0.0126383899374644,8100,0.0206894685531007,8100,0.049509110377019,8100,0.111418410884796,8100,0.464611316793587
"10m","1005_a",2.86824792793487,0.0107961212911732,0.00376401258274294,0.00129038330370544,217.986424690034,1.35523715248318,4,"10m_C2","FAGR+LIST2+LITU",7610,0.0603320166402534,0.0602211821824312,0.0151728206925827,7610,0.0187455854754216,7610,0.0478713322445622,7610,0.112634957466421,7610,0.478643544986296
"10m","1005_b",2.80576929663546,0.177224536393947,0.0631643295143566,0.021182383617407,215.560566607124,2.79678758764422,6,"10m_C2","FAGR+LIST2+LITU",8322,0.0640879869917656,0.0636700503528118,0.018974389506531,8322,0.0188611430406058,8322,0.0498542445007392,8322,0.11584795911596,8322,0.469126646421139
"10m","1005_c",2.80125202964313,0.0088875605031407,0.00317271006289032,0.00106226665805441,215.620597280397,2.24640999099038,7,"10m_C2","FAGR+LIST2+LITU",7573,0.0587540354926981,0.0571653060615063,0.0176929787285613,7573,0.018034787391136,7573,0.046263362347161,7573,0.10401918587488,7573,0.430760046007488
"10m","1005_d",2.79762078925154,0.19031900283033,0.0680288778098647,0.0227474717082804,218.233541598025,2.44026388025776,7,"10m_C6","CACA38+FRAMCO+ACSA3C",7128,0.0574800334951823,0.0560551062226295,0.0161437840594471,7128,0.0167925050907297,7128,0.0449908223488987,7128,0.104641839493525,7128,0.437841283875098
"10m","1006_a",2.78235337390387,0.0098404029032966,0.00353671930948502,0.00117615310773973,218.083325325762,2.46209510435774,6,"10m_C6","CACA38+FRAMCO+ACSA3C",7391,0.0594381529045511,0.059274822473526,0.0155071663601479,7391,0.0188805191060187,7391,0.046922017120963,7391,0.112753601020787,7391,0.468457606396153
"10m","1006_b",2.75357890806725,0.0105964100967363,0.00384823186497094,0.00126651325038591,215.487139366673,2.46889221714944,6,"10m_C6","CACA38+FRAMCO+ACSA3C",8041,0.0624381988133854,0.0637026429176331,0.0144553682740249,8041,0.0193380193482757,8041,0.0489535820855079,8041,0.114683702073189,8041,0.471877020206425
"10m","1006_c",2.77484299257359,0.0085982972249179,0.00309866080636988,0.00102769308347824,216.681931023983,3.4176379965242,3,"10m_C1","QUAL+FRAMCO+QURU",8559,0.0679343688511858,0.0665536448359489,0.0204061617579211,8559,0.0194389951461412,8559,0.0532795970275285,8559,0.11812554541163,8559,0.485315972053551
"10m","1006_d",2.81384456610537,0.00894607373560173,0.00317930629266561,0.00106926032700062,218.664867194004,4.39905309286132,4,"10m_C2","FAGR+LIST2+LITU",8257,0.0564512763243673,0.0553377754986286,0.0153732416877133,8257,0.0185497998252417,8257,0.0448410297806995,8257,0.107089535011254,8257,0.455810045870602
"10m","1007_a",2.8186310110749,0.0788774915178464,0.0279843268621975,0.0094276634494661,219.44070596834,3.54701554785192,5,"10m_C2","FAGR+LIST2+LITU",8143,0.0584537476414649,0.0574577078223228,0.0152310121874441,8143,0.0205269755787986,8143,0.0472082276977514,8143,0.111964295402372,8143,0.474102914010012
"10m","1007_b",2.83104590303268,0.0116265524477492,0.00410680463898329,0.00138963881134767,217.416027393528,2.14886394558534,4,"10m_C2","FAGR+LIST2+LITU",7968,0.0622395020771686,0.062949538230896,0.0156343625339858,7968,0.0214841057442372,7968,0.0501369185716763,7968,0.112702845088411,7968,0.471809368245734
"10m","1007_c",2.97128659044138,0.00997996472937795,0.00335880246674402,0.00119283393647007,217.57394506196,0.295222719938899,2,"10m_C3","QUAL+ACSA3C+CACA38",6227,0.0615870956623436,0.0622635893523693,0.0168641604190351,6227,0.0187509734992149,6227,0.0487283725795856,6227,0.110109440592195,6227,0.450757566292706
"10m","1007_d",2.85138807780482,0.0105720805737218,0.00370769614140384,0.00126360531619007,219.824886801288,2.92250584890945,5,"10m_C2","FAGR+LIST2+LITU",8287,0.0604493996186655,0.0581923238933086,0.0164189423969215,8287,0.0223414146454654,8287,0.049280665683171,8287,0.1074414999135,8287,0.444796077016927
"10m","1008_a",2.83432232287496,0.0104555250509652,0.0036888976834363,0.00124967426665261,219.495891812883,1.6451441252345,3,"10m_C2","FAGR+LIST2+LITU",5961,0.0655522979258481,0.0653505697846413,0.0186127125985079,5961,0.0176439810603952,5961,0.0512195002702277,5961,0.112256488235992,5961,0.454863901028591
"10m","1008_b",2.81739112244064,0.275260432226423,0.0977004683637858,0.0328999143614772,218.012534157826,1.51233004527099,3,"10m_C5","LITU+LIST2+ACNE2",7981,0.0632892693811275,0.0628092288970947,0.0180411290517789,7981,0.0175687678830406,7981,0.0497511536665323,7981,0.112194837102845,7981,0.465183053210577
"10m","1008_c",2.80969573437501,0.115541017560316,0.041122252543839,0.0138097929739697,218.809064724367,3.84056546373544,5,"10m_C5","LITU+LIST2+ACNE2",6769,0.0668232840727885,0.0653467178344727,0.0221537961706989,6769,0.0192429472663907,6769,0.0532344265248166,6769,0.108675636193218,6769,0.426914887649369
"10m","1008_d",2.76334347746195,0.081606671905616,0.0295318597095174,0.00975386289741575,220.037751149006,0.126620301820766,1,"10m_C5","LITU+LIST2+ACNE2",7119,0.073274504872933,0.0735722705721855,0.0237947607416532,7119,0.0204651087187646,7119,0.0577226498394455,7119,0.119664921617325,7119,0.459535628986197
"10m","1009_a",2.77200847136035,0.00890371288044159,0.00321200781759232,0.00106419723640029,220.575478555507,2.09056062777783,3,"10m_C5","LITU+LIST2+ACNE2",7147,0.0620196212337987,0.060233112424612,0.0197762212628882,7147,0.0173020264760644,7147,0.0493710346844334,7147,0.108849074985748,7147,0.444320748006946
"10m","1009_b",2.82410938509222,0.00739050487010366,0.00261693293790825,0.000883334285817306,219.055849395932,1.7348797255489,5,"10m_C2","FAGR+LIST2+LITU",7837,0.0596764419452202,0.0574134588241577,0.0180475891538399,7837,0.0189115747510615,7837,0.0484734007835722,7837,0.103618913419057,7837,0.422808666082005
"10m","1009_c",2.8419230205988,0.242487109783889,0.0853250098705334,0.0289827531008514,218.62578823813,3.85409015005507,7,"10m_C2","FAGR+LIST2+LITU",8061,0.0612865009348234,0.0602215453982353,0.0169097297826308,8061,0.0207558005406499,8061,0.0498894011707322,8061,0.112089275719122,8061,0.480999740769773
"10m","1009_d",2.85001808007445,0.00845250315330887,0.00296577176559107,0.00101026735893239,220.481870531666,1.92480249773021,5,"10m_C5","LITU+LIST2+ACNE2",6872,0.0531780191941666,0.0525218341499567,0.0129341980283088,6872,0.01944537127321,6872,0.044236074698217,6872,0.0991827859859452,6872,0.429569287606883
"10m","101_a",2.85194601345427,0.00891326463900113,0.00312532726669865,0.00106533888991027,216.465229404699,2.06660958173905,5,"10m_C2","FAGR+LIST2+LITU",8757,0.060077098810715,0.0578553192317486,0.0161801494076308,8757,0.0213146281701593,8757,0.0496429248696047,8757,0.109987099070586,8757,0.457936264009859
"10m","101_b",2.72375795683688,0.114813003821564,0.0421524253039346,0.0137227786891152,216.22216236839,2.53488359887526,3,"10m_C5","LITU+LIST2+ACNE2",9262,0.0660083715831473,0.0658688768744469,0.0158999913517444,9262,0.0227214065004438,9262,0.0539108833318729,9262,0.124994496451378,9262,0.536800247382085
"10m","101_c",2.76892416645651,0.0110677327022351,0.00399712380581331,0.00132284707661773,213.57682402201,2.98833634958074,5,"10m_C2","FAGR+LIST2+LITU",9272,0.0710041184212154,0.0700766369700432,0.0173448404529746,9272,0.0268298442703764,9272,0.0590145716992631,9272,0.123684930468312,9272,0.505197486231382
"10m","101_d",2.8101464765213,0.00834681445412066,0.00297024177346557,0.000997635143237085,214.137113133824,4.83465887870897,6,"10m_C2","FAGR+LIST2+LITU",7769,0.0721635463356124,0.0737756490707397,0.019818728929784,7769,0.0271386168692762,7769,0.0598272410156202,7769,0.122057097459566,7769,0.479655231407253
"10m","1010_a",2.75106404116264,0.00731069872281866,0.0026574076842388,0.000873795626773727,219.794134037183,2.84777804709557,5,"10m_C5","LITU+LIST2+ACNE2",7474,0.0527727934049633,0.0531399287283421,0.0110611622144954,7474,0.0179717098635151,7474,0.0427483603824001,7474,0.108400863995685,7474,0.493179024340919
"10m","1010_b",2.80881356087747,0.00927449778215946,0.00330192715933133,0.00110851450864454,217.868314605499,2.15882893818652,7,"10m_C4","FRAMCO+AEFL+QUMU",7449,0.0603428287445351,0.0565660111606121,0.0195362259013433,7449,0.0190476403844557,7449,0.0478942034780152,7449,0.11227401885149,7449,0.477275082803277
"10m","1010_c",2.78202990814551,0.00987182579830651,0.00354842547501116,0.00117990886205013,216.870915595394,2.47288290010818,5,"10m_C2","FAGR+LIST2+LITU",8354,0.0587819048785688,0.0559584256261587,0.0181417594236251,8354,0.017263213138429,8354,0.0468442227932357,8354,0.10844436879046,8354,0.465213910421334
"10m","1010_d",2.7771777916677,0.0828497810751517,0.0298323648286846,0.00990244286181125,218.54069127382,1.83830972685123,8,"10m_C2","FAGR+LIST2+LITU",7187,0.0493253825743726,0.0487935915589333,0.0102243723806474,7187,0.0164545434461947,7187,0.0397226391319993,7187,0.0984019399902239,7187,0.441467831125383
"10m","1011_a",2.80014257426152,0.0818760698172699,0.0292399646253238,0.00978606210654612,216.740379538967,1.93718376633177,6,"10m_C2","FAGR+LIST2+LITU",7687,0.0504760921899924,0.0484276041388512,0.0119063227672448,7687,0.0178381042504991,7687,0.0410561923707887,7687,0.100619983999926,7687,0.434801094059603
"10m","1011_b",2.75301206039817,0.00953624544489853,0.00346393159044836,0.00113979933813775,215.204371166352,1.68570660712398,4,"10m_C2","FAGR+LIST2+LITU",8671,0.0730709442165316,0.070257693529129,0.0219418879520261,8671,0.0206694810705459,8671,0.0582088295087692,8671,0.117157886292196,8671,0.456425599495574
"10m","1011_c",2.79991355478852,0.0101439619187018,0.00362295539494537,0.0012124353497231,211.72700187386,1.55419168573492,4,"10m_C4","FRAMCO+AEFL+QUMU",8880,0.0661900182135051,0.0675214938819408,0.0145335040197884,8880,0.0213493361115375,8880,0.0534993073425077,8880,0.115817754087056,8880,0.468641871006757
"10m","1011_d",2.7659407638256,0.00956009745682196,0.00345636377389344,0.00114265019884186,213.626456615147,3.39234856800816,5,"10m_C4","FRAMCO+AEFL+QUMU",8415,0.0609416067130992,0.0629745423793793,0.0133528997062374,8415,0.0197739481828325,8415,0.0491159474163253,8415,0.117018148308593,8415,0.498865328019245
"10m","1012_a",2.79717833074624,0.0102106528302223,0.00365034031544863,0.00122040643826629,209.847688195054,2.20638779851481,6,"10m_C4","FRAMCO+AEFL+QUMU",9103,0.0513533801973966,0.0487057119607925,0.0128177629691649,9103,0.0206774407205796,9103,0.0427305212307268,9103,0.102900215492798,9103,0.450338073738045
"10m","1012_b",2.85369444325078,0.00879690775684084,0.00308263828933972,0.00105143158246518,207.685512331674,0.850561247336329,4,"10m_C5","LITU+LIST2+ACNE2",9167,0.0571487398373758,0.0554868243634701,0.0129960077748691,9167,0.0224444099339687,9167,0.0472843747394331,9167,0.110952848816685,9167,0.474544695138515
"10m","1012_c",2.87393324605681,0.0102667258705483,0.00357236059140721,0.00122710844846729,205.210506757421,0.712563200501231,1,"10m_C5","LITU+LIST2+ACNE2",9377,0.071757417808834,0.0683240815997124,0.0199856546989186,9377,0.0331391830043386,9377,0.0611120274202161,9377,0.115497720592877,9377,0.413631056934004
"10m","1012_d",2.79263127381835,0.00976465783570247,0.0034965797050433,0.00116709984055929,207.448150429169,0.841512444785161,4,"10m_C5","LITU+LIST2+ACNE2",9424,0.0656312028221242,0.0665374025702477,0.0167326258984164,9424,0.0234605000724437,9424,0.0537724546161694,9424,0.110669455554431,9424,0.437450945507988
"10m","1013_a",2.74249020902693,0.191329219592936,0.069764777632815,0.02286821570591,205.741949374237,1.80713319380003,3,"10m_C4","FRAMCO+AEFL+QUMU",9499,0.0826217308556162,0.0808494538068771,0.0192844235533531,9499,0.0282189750981516,9499,0.0663329082569152,9499,0.138345999305625,9499,0.521176092947442
"10m","1013_b",2.97130637807386,0.0831965395952505,0.0279999868775506,0.00994388843218651,206.337462733216,1.42114327162389,3,"10m_C4","FRAMCO+AEFL+QUMU",8090,0.070055574766039,0.0708458200097084,0.0147828689586264,8090,0.0266966669476935,8090,0.0582044472684385,8090,0.114950226509431,8090,0.43127630895449
"10m","1013_c",2.97885876410192,0.00968919016100744,0.00325265174629002,0.00115807972817174,207.600629489472,2.61660263927512,5,"10m_C4","FRAMCO+AEFL+QUMU",5916,0.0609658699267953,0.0634431466460228,0.0135456471184462,5916,0.0194269448670353,5916,0.0494169658591031,5916,0.110361454008809,5916,0.454478295067145
"10m","1013_d",2.87865865429179,0.00991337768592167,0.00344374893881281,0.00118487526253508,205.552734074838,1.28452384194389,3,"10m_C4","FRAMCO+AEFL+QUMU",9445,0.0704453095945576,0.0698418244719505,0.0151823863811729,9445,0.0278596502448229,9445,0.0588817222555349,9445,0.119455941175277,9445,0.464753904881617
"10m","1014_a",3.12601381236971,0.00711148614347306,0.00227493753077249,0.000849985169356412,206.705716606417,0.833836003607614,3,"10m_C5","LITU+LIST2+ACNE2",5412,0.0646268063856747,0.0655257739126682,0.0174851868549864,5412,0.0298352129625473,5412,0.0551593387842761,5412,0.103204495023869,5412,0.376823527955403
"10m","1014_b",3.03576524541034,0.00857365962659875,0.00282421693823689,0.00102474832724061,209.306716918655,1.79638106218373,6,"10m_C5","LITU+LIST2+ACNE2",5416,0.0583540227307499,0.0526078678667545,0.021415920269035,5416,0.0171428839662612,5416,0.0465576213682299,5416,0.104946200777729,5416,0.426034620883799
"10m","1014_c",3.02787601267205,0.008369492934149,0.00276414651693847,0.00100034574005169,211.152008024298,1.55805963581967,6,"10m_C5","LITU+LIST2+ACNE2",3681,0.0400695594711266,0.0388552509248257,0.00692814549642229,3681,0.0134480194459064,3681,0.0328479790080226,3681,0.0756913833626864,3681,0.33724714830619
"10m","1014_d",2.99493936551989,0.00709058695204575,0.00236752270636201,0.000847487238205824,207.850105489748,0.921497767530242,1,"10m_C5","LITU+LIST2+ACNE2",4991,0.047020686080146,0.0441869981586933,0.012199627849447,4991,0.0168819072915584,4991,0.0390084627415303,4991,0.0884908839158725,4991,0.38801361571089
"10m","1015_a",2.97601417321757,0.00688628135082816,0.00231392760585644,0.000823068048243571,210.437024893268,0.922262052610775,4,"10m_C5","LITU+LIST2+ACNE2",5129,0.0445196621932001,0.0426340065896511,0.00999189786796985,5129,0.0168740465594558,5129,0.0373539777218896,5129,0.0815113398847702,5129,0.368895750518654
"10m","1015_b",3.03955868463154,0.00728363115593514,0.00239627916801287,0.000870560433741302,213.213101554674,2.18959585862458,6,"10m_C4","FRAMCO+AEFL+QUMU",4428,0.0414833003809034,0.0398614425212145,0.008345611430963,4428,0.0150045035448311,4428,0.0344346533038951,4428,0.0764395752452998,4428,0.340195113599768
"10m","1015_c",3.04525044882768,0.160820722327929,0.0528103435268648,0.0192217528300163,214.487877235928,0.589744140292358,6,"10m_C4","FRAMCO+AEFL+QUMU",3443,0.0390740731985866,0.0379033610224724,0.00620170125753788,3443,0.0154448074783105,3443,0.0327053046848669,3443,0.074070197735003,3443,0.321090504567753
"10m","1015_d",3.04653270645314,0.00770483545041744,0.0025290506266672,0.000920903976055277,212.353249302058,1.48065906422515,5,"10m_C5","LITU+LIST2+ACNE2",3668,0.0381231069175837,0.0371810551732779,0.00534208104220711,3668,0.0151437790433005,3668,0.0318975180161631,3668,0.0722125777286155,3668,0.328249169627454
"10m","1016_b",3.06445292740076,0.00638001840342688,0.0020819436795325,0.000762558052385575,215.242738653961,1.90589489591755,3,"10m_C4","FRAMCO+AEFL+QUMU",3459,0.0381103350906642,0.0370193831622601,0.00555106932457547,3459,0.0130480406629517,3459,0.0310570602045796,3459,0.07049273472417,3459,0.295805361684488
