"quad_id","scale","crown_equivalent_individuals","present_species_count"
"304_c","10m",0.602464784276449,4
"304_d","10m",1.94559125932964,6
"403_a","10m",2.75606380175168,4
"403_b","10m",2.04217674382899,4
"403_c","10m",2.53023657660205,3
"403_d","10m",2.40917904687173,4
"502_a","10m",2.83802400205434,8
"502_b","10m",3.64479664219559,4
"502_c","10m",1.79447587966701,4
"502_d","10m",1.74798763379383,6
"601_a","10m",1.36863877725802,5
"601_b","10m",2.59361238981157,5
"601_c","10m",1.64720469701141,5
"601_d","10m",1.90937199946541,5
"700_a","10m",2.5231530356356,3
"700_b","10m",1.38183863527329,3
"700_c","10m",1.61851608299422,5
"700_d","10m",2.32210380322139,5
"8_a","10m",1.39940398523149,5
"8_b","10m",1.59566166327659,4
"8_c","10m",1.96777853538598,5
"8_d","10m",1.6627408011205,6
"107_a","10m",1.59893280012507,8
"107_b","10m",3.11531175160469,4
"107_c","10m",1.05665620042836,3
"107_d","10m",1.24651785938231,7
"206_a","10m",4.34346256473784,4
"206_b","10m",1.8655953455675,5
"206_c","10m",3.61520844146317,5
"206_d","10m",2.97520346768071,4
"305_a","10m",0.429675319098284,3
"305_b","10m",1.50669003154523,3
"305_c","10m",2.54006009646199,9
"305_d","10m",2.49170728854506,8
"404_a","10m",0.328562155566564,2
"404_b","10m",0.13123104331932,3
"404_c","10m",2.32194122409224,6
"404_d","10m",1.91413759828582,6
"503_a","10m",1.28134078003124,4
"503_b","10m",1.92713754207125,4
"503_c","10m",2.30982857868028,4
"503_d","10m",1.86471364251646,4
"602_a","10m",5.40973278253558,7
"602_b","10m",5.49404087002413,9
"602_c","10m",2.12667224653616,5
"602_d","10m",1.86957223032527,4
"701_a","10m",0.538686426716205,3
"701_b","10m",2.31494683054034,5
"701_c","10m",2.52818739563674,5
"701_d","10m",1.80905619263632,2
"800_a","10m",1.27088301768484,5
"800_b","10m",1.79149713784879,4
"800_c","10m",2.76452673991925,5
"800_d","10m",0.768824186878244,3
"9_a","10m",3.57700554441428,4
"9_b","10m",2.33177053273289,3
"9_c","10m",2.3529499685153,3
"9_d","10m",3.67007749635852,6
"108_a","10m",2.65746867676777,5
"108_b","10m",2.49667338009815,5
"108_c","10m",1.86737146605873,6
"108_d","10m",1.47046724162268,5
"207_a","10m",2.11789490901617,4
"207_b","10m",1.9748262069724,6
"207_c","10m",2.58692997292813,4
"207_d","10m",1.45933742535011,4
"306_a","10m",3.45129133224382,6
"306_b","10m",3.94817810832318,7
"306_c","10m",3.46054349254747,4
"306_d","10m",1.31451221655776,4
"405_a","10m",1.87106407716425,9
"405_b","10m",0.997456515769037,6
"405_c","10m",2.84002489506375,8
"405_d","10m",3.91651209163344,6
"504_a","10m",2.56700152320672,5
"504_b","10m",0.621483309052988,4
"504_c","10m",0.756042222669387,5
"504_d","10m",2.11569109087901,2
"603_a","10m",0.454345768594924,4
"603_b","10m",0.14986631290409,1
"603_c","10m",0.795520990526968,2
"603_d","10m",0.926419940028548,2
"702_a","10m",2.71475790498384,4
"702_b","10m",3.03139085644496,5
"702_c","10m",3.38327701566213,5
"702_d","10m",1.52228268105205,5
"801_a","10m",2.09878410326116,4
"801_b","10m",0.582919504744416,1
"801_c","10m",0.881358105454687,3
"801_d","10m",2.26303463178626,2
"900_a","10m",2.54000497304186,7
"900_b","10m",4.54192169823297,8
"900_c","10m",3.41173400975154,7
"900_d","10m",1.63105693022816,5
"10_a","10m",1.34490606967807,6
"10_b","10m",2.17203983585446,4
"10_c","10m",0.715562384726905,3
"10_d","10m",2.66947371679167,4
"109_a","10m",0.807034770681663,2
"109_b","10m",1.74223770943548,3
"109_c","10m",1.64825415955501,6
"109_d","10m",0.151971393588067,4
"208_a","10m",0.722701664324672,4
"208_b","10m",1.54743494584585,3
"208_c","10m",2.29096458189249,5
"208_d","10m",1.33309721677588,5
"307_a","10m",3.5744835457549,5
"307_b","10m",2.10786617957507,4
"307_c","10m",2.7436192815936,5
"307_d","10m",1.47925369695997,5
"406_a","10m",2.1787195878211,3
"406_b","10m",3.29488042932937,6
"406_c","10m",1.03248690544555,5
"406_d","10m",1.43630956006266,4
"505_a","10m",3.02822409993951,5
"505_b","10m",0.691986613761435,6
"505_c","10m",2.76063228189997,5
"505_d","10m",2.5014550158126,5
"604_a","10m",0.182836320367793,2
"604_b","10m",1.03938839922599,3
"604_c","10m",0.0445349470270664,1
"604_d","10m",0.124083313618697,1
"703_a","10m",2.86268238430325,3
"703_b","10m",2.87690387760116,6
"703_c","10m",0.482229805680213,5
"703_d","10m",1.43840257561782,4
"802_a","10m",2.50098336548897,2
"802_b","10m",0.851847452366551,5
"802_c","10m",1.15734260616307,3
"802_d","10m",0.0241257174869613,1
"901_a","10m",4.09881423223499,5
"901_b","10m",1.1287414868891,7
"901_c","10m",1.31703345410656,3
"901_d","10m",1.09475540712237,4
"1000_a","10m",1.83517776471047,5
"1000_b","10m",1.64827489146395,5
"1000_c","10m",2.15776086241168,6
"1000_d","10m",1.95281446124196,2
"11_a","10m",2.19138413055771,4
"11_b","10m",1.37439481146302,3
"11_c","10m",2.48703845735073,2
"11_d","10m",0.690439339866229,2
"110_a","10m",0.469457869655733,2
"110_b","10m",1.08619408621884,4
"110_c","10m",2.11822820948936,1
"110_d","10m",0.237631073390159,4
"209_a","10m",0.664772334556539,4
"209_b","10m",2.30511644049102,6
"209_c","10m",2.89725729397214,4
"209_d","10m",0.276749140367851,6
"308_a","10m",2.91667522494245,6
"308_b","10m",2.44169285020287,5
"308_c","10m",2.3834716371711,3
"308_d","10m",1.31648032120258,5
"407_a","10m",3.58681267362453,3
"407_b","10m",2.82253756269053,5
"407_c","10m",3.48248185053366,5
"407_d","10m",1.98783290007965,3
"506_a","10m",2.30432139624784,3
"506_b","10m",2.07000497564064,5
"506_c","10m",3.99170863396094,3
"506_d","10m",2.18138719152522,3
"605_a","10m",1.75363413025911,2
"605_b","10m",1.69544249102742,5
"605_c","10m",2.25039190626174,5
"605_d","10m",3.33823363778439,3
"704_a","10m",1.78218159803689,5
"704_b","10m",1.26169839290162,3
"704_c","10m",0.933333232682466,4
"704_d","10m",3.10498716443714,5
"803_a","10m",0.981058870150219,1
"803_b","10m",0.146228313200696,2
"803_c","10m",2.12861332526244,3
"803_d","10m",0.0323314915726945,1
"902_a","10m",3.30097141087388,4
"902_b","10m",3.97740578115368,6
"902_c","10m",2.24056300886158,2
"902_d","10m",4.29815871553982,5
"1001_a","10m",1.76260372743342,5
"1001_b","10m",2.54509374132536,4
"1001_c","10m",1.01673192912284,3
"1001_d","10m",3.78699906678492,4
"1100_a","10m",0.974420917380634,2
"1100_b","10m",3.15365671052389,4
"1100_c","10m",0.4652058964307,4
"1100_d","10m",0.817375673171054,2
"12_a","10m",1.45382306536122,3
"12_b","10m",1.58224202530856,2
"12_c","10m",3.18520505269128,3
"12_d","10m",1.81540997365433,3
"111_a","10m",1.02214067814677,2
"111_b","10m",1.92385281914809,2
"111_c","10m",0.84176133564377,1
"111_d","10m",1.41878850747692,1
"210_a","10m",2.83933288708802,7
"210_b","10m",1.72682930057038,7
"210_c","10m",2.32187865836114,5
"210_d","10m",1.43399464093637,7
"309_a","10m",1.21404177935421,4
"309_b","10m",1.61698836661304,3
"309_c","10m",1.05961622186296,4
"309_d","10m",0.812420060406162,3
"408_a","10m",2.28707921314405,3
"408_b","10m",3.05003596492521,4
"408_c","10m",2.29901374090287,5
"408_d","10m",2.15403477625224,3
"507_a","10m",3.6868111906107,3
"507_b","10m",2.75074397280128,3
"507_c","10m",2.70196902618701,4
"507_d","10m",2.37191353503136,3
"606_a","10m",2.10732855685496,4
"606_b","10m",2.74270040274052,5
"606_c","10m",1.75281753682821,3
"606_d","10m",2.97596717089397,5
"705_a","10m",2.44717536404008,5
"705_b","10m",3.53878414718294,4
"705_c","10m",2.04374605028256,2
"705_d","10m",2.53855050296031,4
"804_a","10m",0.293522316131571,2
"804_b","10m",3.58215903932534,4
"804_c","10m",1.86464378878693,4
"804_d","10m",3.23628962069452,4
"903_a","10m",5.38928577842249,4
"903_b","10m",1.35988248761072,2
"903_c","10m",2.38832264203025,4
"903_d","10m",0.530585795054688,2
"1002_a","10m",1.96058385630703,6
"1002_b","10m",3.04266042430928,3
"1002_c","10m",1.27361709125481,5
"1002_d","10m",4.30831421843613,6
"1101_a","10m",3.20166305093643,5
"1101_b","10m",2.57320687255963,4
"1101_c","10m",2.25547439304961,8
"1101_d","10m",2.52593936238315,4
"1200_a","10m",0.703855826941759,4
"1200_b","10m",1.57206643929246,4
"1200_c","10m",1.3033463522117,4
"1200_d","10m",1.87865597134849,4
"13_a","10m",2.5569141281231,3
"13_b","10m",2.23581267826042,4
"13_c","10m",1.99059444516772,3
"13_d","10m",2.52022823760437,2
"112_a","10m",1.86800509167206,3
"112_b","10m",1.15196793851367,2
"112_c","10m",2.10953038439632,2
"112_d","10m",2.22263659233049,4
"211_a","10m",1.96487332914753,5
"211_b","10m",1.25894540994688,5
"211_c","10m",1.77573924008122,4
"211_d","10m",2.89881355343877,5
"310_a","10m",2.52633623054485,4
"310_b","10m",0.875572084205652,3
"310_c","10m",1.94867452197842,4
"310_d","10m",3.20384171734255,4
"409_a","10m",1.59266666914242,4
"409_b","10m",2.51900426466609,4
"409_c","10m",1.01970423608074,4
"409_d","10m",1.56884430480879,7
"508_a","10m",3.06904457250476,5
"508_b","10m",3.13829664482972,3
"508_c","10m",1.49838727957168,5
"508_d","10m",1.66888131008017,3
"607_a","10m",2.92463986002024,5
"607_b","10m",1.97085662298148,3
"607_c","10m",1.44194575574121,4
"607_d","10m",5.20866482203602,6
"706_a","10m",2.05535585018478,3
"706_b","10m",1.65925559911739,3
"706_c","10m",2.91939805815183,5
"706_d","10m",3.76246442792945,4
"805_a","10m",3.19789273493913,5
"805_b","10m",0.81542663497738,4
"805_c","10m",1.33294211038932,5
"805_d","10m",2.58792970678587,6
"904_a","10m",1.16605662093469,3
"904_b","10m",3.18568982037052,4
"904_c","10m",0.96952715426742,3
"904_d","10m",0.706051563097871,2
"1003_a","10m",1.4864267393739,5
"1003_b","10m",0.59716746442028,3
"1003_c","10m",3.94163445862535,5
"1003_d","10m",3.3230254975313,7
"1102_a","10m",0.844855791461789,4
"1102_b","10m",1.79766386584746,4
"1102_c","10m",2.54244168089554,6
"1102_d","10m",2.93461656473283,4
"1201_a","10m",1.58016022330254,2
"1201_b","10m",1.62512937183733,3
"1201_c","10m",2.14047187437145,4
"1201_d","10m",2.94140200280747,4
"14_a","10m",3.61242433350965,3
"14_b","10m",2.07917726957735,6
"14_c","10m",3.27821663386559,4
"14_d","10m",2.13825242706879,5
"1300_a","10m",0.698025223925808,2
"1300_b","10m",1.39317012906901,6
"1300_c","10m",2.77125834988826,5
"1300_d","10m",2.35210947443399,4
"113_a","10m",2.57048070082028,2
"113_b","10m",1.27826169698,2
"113_c","10m",1.10210530503594,1
"113_d","10m",3.30955112004058,3
"212_a","10m",3.22057803999439,5
"212_b","10m",2.04071438635581,3
"212_c","10m",0.574641131865811,4
"212_d","10m",2.07888701190042,5
"311_a","10m",0.879525406876173,3
"311_b","10m",0.737626244526982,3
"311_c","10m",2.804957723113,6
"311_d","10m",2.25950202250019,5
"410_a","10m",1.18410103868568,5
"410_b","10m",1.26760639332016,4
"410_c","10m",1.63874686517708,3
"410_d","10m",0.383051948478776,1
"509_a","10m",1.82879813495063,4
"509_b","10m",1.4289639740617,4
"509_c","10m",2.36587668076934,8
"509_d","10m",1.80667091364873,4
"608_a","10m",2.9463168219843,4
"608_b","10m",4.20320076192057,3
"608_c","10m",1.84555344739646,3
"608_d","10m",2.67081541550197,3
"707_a","10m",1.99212938360835,3
"707_b","10m",1.61633141858289,3
"707_c","10m",2.80472450539729,4
"707_d","10m",1.01074749255927,1
"806_a","10m",1.04292650611468,2
"806_b","10m",1.70308642376204,4
"806_c","10m",1.28613532459452,2
"806_d","10m",1.81892618514623,3
"905_a","10m",0.452544079641873,2
"905_b","10m",1.10543704888265,4
"905_c","10m",5.24985200923537,4
"905_d","10m",0.0520642784893726,1
"1004_a","10m",5.10498442198611,10
"1004_b","10m",2.38347420845223,6
"1004_c","10m",1.28253257144596,3
"1004_d","10m",1.70948952649134,6
"1103_a","10m",2.6342918395124,6
"1103_b","10m",3.20152633082262,7
"1103_c","10m",1.31714479119516,7
"1103_d","10m",2.44933064053581,5
"1202_a","10m",2.60614643374259,5
"1202_b","10m",1.56552213460303,5
"1202_c","10m",2.3956785435036,5
"1202_d","10m",1.50875216183966,2
"15_a","10m",1.71381491306234,5
"15_b","10m",1.01276040707286,4
"15_c","10m",3.28170714177212,4
"15_d","10m",3.91771654985091,4
"1301_a","10m",2.16293629612233,4
"1301_b","10m",2.2003422312643,4
"1301_c","10m",3.01131999129506,5
"1301_d","10m",1.19667332200049,5
"114_a","10m",3.04363374858166,3
"114_b","10m",1.84427312964045,2
"114_c","10m",2.32418276433038,6
"114_d","10m",2.70478305202389,2
"1400_a","10m",2.11135893165588,3
"1400_b","10m",0.426446991989042,1
"1400_c","10m",1.73752270700204,6
"1400_d","10m",2.95105667049865,4
"213_a","10m",1.3592725416008,3
"213_b","10m",1.20777238636415,2
"213_c","10m",1.83597973856092,1
"213_d","10m",0.767708776843397,2
"312_a","10m",1.62972617781807,5
"312_b","10m",2.75369232040185,6
"312_c","10m",2.34892941609127,3
"312_d","10m",1.88436191773357,4
"411_a","10m",0.805314189917534,4
"411_b","10m",2.14489583530558,4
"411_c","10m",1.16166918864423,3
"411_d","10m",2.95477686579662,6
"510_a","10m",0.852145953050676,3
"510_b","10m",2.70961796283218,5
"510_c","10m",1.64826288993109,2
"510_d","10m",0.810906808430439,4
"609_a","10m",1.7127840284754,3
"609_b","10m",4.22964501733561,3
"609_c","10m",1.67326172970132,3
"609_d","10m",0.144917996532229,2
"708_a","10m",1.7060061459716,3
"708_b","10m",5.26374289586437,4
"708_c","10m",0.951539610799287,2
"708_d","10m",0.821264914722669,4
"807_a","10m",1.75025358620199,7
"807_b","10m",1.00651501952713,1
"807_c","10m",1.39653822007091,2
"807_d","10m",2.193098454634,6
"906_a","10m",0.868352977900652,2
"906_b","10m",1.69812371950248,1
"906_c","10m",0.874144486143238,2
"906_d","10m",0.411386962428579,2
"1005_a","10m",1.35523715248318,4
"1005_b","10m",2.79678758764422,6
"1005_c","10m",2.24640999099038,7
"1005_d","10m",2.44026388025776,7
"1104_a","10m",3.05913725281715,7
"1104_b","10m",2.86920010111861,7
"1104_c","10m",2.58926399615269,6
"1104_d","10m",0.992409239782476,5
"1203_a","10m",0.828683128402622,4
"1203_b","10m",2.39391417852764,4
"1203_c","10m",2.91748191060742,3
"1203_d","10m",3.01041304114296,3
"16_a","10m",2.1684638267036,3
"16_b","10m",1.67604438885076,3
"16_c","10m",2.38027253124064,5
"16_d","10m",3.78609825072086,6
"1302_a","10m",1.54944909379648,3
"1302_b","10m",1.17010810401574,4
"1302_c","10m",2.68160795092316,5
"1302_d","10m",2.22626433770823,4
"115_a","10m",1.3028915379655,3
"115_b","10m",1.95745502410261,5
"115_c","10m",2.23099449932832,5
"115_d","10m",3.37881156879555,5
"1401_a","10m",1.36603299234564,3
"1401_b","10m",2.77074530819322,5
"1401_c","10m",0.769144743413709,4
"1401_d","10m",0.653707275136452,4
"214_a","10m",2.73934846554459,4
"214_b","10m",4.05571008454841,3
"214_c","10m",1.666937028486,3
"214_d","10m",2.05454012504656,4
"1500_a","10m",2.24576110440007,4
"1500_b","10m",1.04916876296641,5
"1500_c","10m",2.96193127872655,6
"1500_d","10m",2.74327276282696,7
"313_a","10m",1.03112436234851,3
"313_b","10m",1.42749360050363,3
"313_c","10m",1.47307292603138,4
"313_d","10m",1.83357302365309,3
"412_a","10m",0.826784561357266,5
"412_b","10m",3.34109762937304,3
"412_c","10m",1.6458702705667,6
"412_d","10m",1.38833418553554,5
"511_a","10m",1.86159413399455,4
"511_b","10m",1.96334790113275,5
"511_c","10m",2.28544352084296,6
"511_d","10m",1.25842563226087,6
"610_a","10m",0.254759502849545,2
"610_b","10m",1.66607482775961,3
"610_c","10m",1.19955385201105,3
"610_d","10m",1.94284670652691,4
"709_a","10m",1.3744809393328,5
"709_b","10m",1.15328382164066,3
"709_c","10m",1.87155130055981,4
"709_d","10m",3.27365648256831,5
"808_a","10m",1.98434189950048,6
"808_b","10m",1.6431909655604,4
"808_c","10m",1.22295739578051,3
"808_d","10m",0.720651089077443,3
"907_a","10m",0.550931134081208,3
"907_b","10m",4.60480562536962,6
"907_c","10m",4.11559181517251,6
"907_d","10m",1.81028506498101,4
"1006_a","10m",2.46209510435774,6
"1006_b","10m",2.46889221714944,6
"1006_c","10m",3.4176379965242,3
"1006_d","10m",4.39905309286132,4
"1105_a","10m",1.80938705781769,6
"1105_b","10m",3.11373268625408,6
"1105_c","10m",3.68425376187063,6
"1105_d","10m",1.61297170590358,5
"1204_a","10m",1.62026756345793,3
"1204_b","10m",0.53882883829605,3
"1204_c","10m",0.962329007512648,2
"1204_d","10m",0.434875102958678,1
"17_a","10m",1.03247059249356,4
"17_b","10m",1.19808332001169,2
"17_c","10m",1.32197118269718,4
"17_d","10m",1.47611671417428,4
"1303_a","10m",1.68564431817509,3
"1303_b","10m",1.19655335770732,5
"1303_c","10m",1.24838323484959,3
"1303_d","10m",2.021815256839,5
"116_a","10m",1.20752208014139,4
"116_b","10m",2.04678193863688,3
"116_c","10m",2.84539838403034,5
"116_d","10m",2.27292155752641,3
"1402_a","10m",2.34419223929444,4
"1402_b","10m",1.04312618011939,2
"1402_c","10m",0.664655416714881,4
"1402_d","10m",3.50196207781235,6
"215_a","10m",1.97398018628953,3
"215_b","10m",1.40720533716732,3
"215_c","10m",1.0768645836982,4
"215_d","10m",0.87146598066829,4
"1501_a","10m",1.51133850604729,5
"1501_b","10m",1.82983940613775,4
"1501_c","10m",1.32918142756383,5
"1501_d","10m",0.808566089740402,3
"314_a","10m",1.59848359519572,4
"314_b","10m",2.79120662342861,4
"314_c","10m",3.27829696459179,4
"314_d","10m",1.2512401745143,4
"1600_a","10m",1.25024818116928,2
"1600_b","10m",1.46392524156987,3
"1600_c","10m",2.49187949641587,4
"1600_d","10m",0.696619211556022,2
"413_a","10m",2.674961205591,6
"413_b","10m",1.96858863294189,5
"413_c","10m",2.08973042130486,3
"413_d","10m",2.39812093806104,4
"512_a","10m",1.41934719010029,4
"512_b","10m",2.72985168307266,6
"512_c","10m",1.22228885117027,3
"512_d","10m",1.17953468598235,4
"611_a","10m",2.91165218587251,6
"611_b","10m",1.10870512550234,4
"611_c","10m",1.08870559906387,3
"611_d","10m",2.30350928644074,5
"710_a","10m",1.74436295756492,4
"710_b","10m",1.71879833849206,3
"710_c","10m",1.04152882132826,4
"710_d","10m",2.77728848512818,5
"809_a","10m",4.14062886420506,3
"809_b","10m",1.09525160752835,3
"809_c","10m",2.82084944017142,3
"809_d","10m",2.21536793915175,4
"908_a","10m",2.71889402441153,7
"908_b","10m",6.95045064866044,8
"908_c","10m",3.36029049882225,5
"908_d","10m",2.883601725709,7
"1007_a","10m",3.54701554785192,5
"1007_b","10m",2.14886394558534,4
"1007_c","10m",0.295222719938899,2
"1007_d","10m",2.92250584890945,5
"1106_a","10m",3.42568038899177,4
"1106_b","10m",1.97468065379275,5
"1106_c","10m",1.59381192616394,3
"1106_d","10m",2.93810879342626,6
"1205_a","10m",2.68798416971259,5
"1205_b","10m",2.30743374303977,4
"1205_c","10m",2.55406386096324,4
"1205_d","10m",1.12601005069732,5
"18_a","10m",3.68292187316244,3
"18_b","10m",2.30854460927408,4
"18_c","10m",1.71245342504066,4
"18_d","10m",1.66562534038755,5
"1304_a","10m",0.214903625733658,3
"1304_b","10m",2.94009441505814,4
"1304_c","10m",0.914535436781118,3
"1304_d","10m",2.19084167062435,4
"117_a","10m",1.59106290472128,3
"117_b","10m",2.40145315060448,4
"117_c","10m",0.764527328383829,4
"117_d","10m",2.54153590888345,3
"1403_a","10m",2.64950001032037,5
"1403_b","10m",2.19253650053209,6
"1403_c","10m",2.77746459032014,4
"1403_d","10m",0.923341161931689,6
"216_a","10m",0.687216290645257,3
"216_b","10m",1.07423681498329,4
"216_c","10m",0.745860234588506,2
"216_d","10m",2.07190217441749,3
"1502_a","10m",2.23849647350026,6
"1502_b","10m",2.01253538044637,5
"1502_c","10m",2.57960321102295,4
"1502_d","10m",1.6399101577147,6
"315_a","10m",1.68810520335835,3
"315_b","10m",2.20883132318817,3
"315_c","10m",1.24689645195785,2
"315_d","10m",1.03945330059418,2
"1601_a","10m",0.979595601453914,3
"1601_b","10m",2.82570781268233,6
"1601_c","10m",3.63036965391171,7
"1601_d","10m",0.674173638241302,5
"414_a","10m",1.27366253564949,4
"414_b","10m",1.61401432578176,4
"414_c","10m",1.7552757660683,4
"414_d","10m",2.81402574211866,4
"1700_a","10m",2.33988887212106,2
"1700_b","10m",2.63998687194816,3
"1700_c","10m",1.99241955469311,3
"1700_d","10m",2.2552859362555,2
"513_a","10m",1.17348038594823,3
"513_b","10m",2.03195164082242,4
"513_c","10m",2.37126444603551,5
"513_d","10m",1.07237538043258,4
"612_a","10m",1.91513755020853,5
"612_b","10m",1.17137805700774,2
"612_c","10m",0.888211410099471,3
"612_d","10m",0.90627815321989,5
"711_a","10m",1.28154920102084,4
"711_b","10m",1.64033708568344,4
"711_c","10m",1.39541433769354,3
"711_d","10m",1.54333851063584,3
"810_a","10m",0.869080226527891,5
"810_b","10m",3.07018115710356,5
"810_c","10m",2.33090412698689,6
"810_d","10m",0.277360269817723,4
"909_a","10m",4.63101651838929,6
"909_b","10m",0.620587644378414,3
"909_c","10m",1.78095528939225,5
"909_d","10m",4.31793986833783,8
"1008_a","10m",1.6451441252345,3
"1008_b","10m",1.51233004527099,3
"1008_c","10m",3.84056546373544,5
"1008_d","10m",0.126620301820766,1
"1107_a","10m",3.98595693813746,5
"1107_b","10m",1.22927182129914,5
"1107_c","10m",1.621848530072,8
"1107_d","10m",1.84732925398749,6
"1206_a","10m",2.47043731179867,5
"1206_b","10m",1.62378671734465,5
"1206_c","10m",1.91445317543214,5
"1206_d","10m",2.03151278017255,4
"19_a","10m",2.31212806264426,4
"19_b","10m",1.33669445087806,2
"19_c","10m",2.44430727603087,2
"19_d","10m",1.78826591825476,4
"1305_a","10m",2.77528374707735,3
"1305_b","10m",3.56275203702847,5
"1305_c","10m",2.02784393048192,4
"1305_d","10m",1.64396997247733,4
"118_a","10m",2.18419533225618,3
"118_b","10m",2.21684691439494,2
"118_c","10m",0.955607372130716,2
"118_d","10m",0.534845966648039,3
"1404_a","10m",2.44852832018381,5
"1404_b","10m",2.78737544409321,4
"1404_c","10m",0.829553414272054,2
"1404_d","10m",2.41132448418976,3
"217_a","10m",2.23879678793943,5
"217_b","10m",2.36403115003164,3
"217_c","10m",1.24667536157998,4
"217_d","10m",2.99689321403373,5
"1503_a","10m",1.00543205575745,3
"1503_b","10m",1.39912922270993,4
"1503_c","10m",2.28548101375633,6
"1503_d","10m",1.05833978098161,3
"316_a","10m",1.68163729439074,4
"316_b","10m",1.7016175044701,4
"316_c","10m",3.82773920901959,7
"316_d","10m",1.62057695830615,8
"1602_a","10m",2.17015209870443,4
